Player Name,Goals Conceded by team per season,Team,League,POS,GP,MIN,ST,ON,OFF,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,49,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,A58,AW,BR,DR,DW,EG,ES,IBS,IBSOG,IBG,OBS,OBSOG,OBG,AOG,APW,DSP,OWN,TOUCH,TBOX,PFT,DL,AFZP,BLKCR,PENT,CLR48,POSL,LPOPP,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,SV,IBSV,OBSV,AKS,PKC,PKF,PKSV,CL,ECL,PUNCH,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Geronimo Rulli,53,RSO,LIGA,G,38,3420,38,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,2,1,2,0,0,5,5,1,8,1020,1399,0,6,323,0,15,1,5,0,0,0,0,0,0,0,0,0,0,1767,0,27,6,148,1,10,0,389,151,0,0,0,0,0,0,0,0,0,0,0,0,53,10,111,68,43,23,1,7,1,16,16,8,409,0,0,1,0,0,0
Guillermo Ochoa,82,GRA,LIGA,G,38,3420,38,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,1,2,638,1158,0,7,335,0,9,3,1,0,0,0,0,0,0,0,0,0,0,1523,0,46,3,197,0,11,0,535,198,0,0,0,0,0,0,0,0,1,0,0,0,82,3,163,117,46,23,0,4,2,24,21,13,341,0,0,0,0,0,0
Benoit Costil,42,REN,FRAN,G,38,3420,38,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,5,585,1132,0,20,400,1,25,1,1,0,0,0,0,0,0,0,0,0,0,1459,0,55,4,235,0,21,0,552,236,0,0,0,0,0,0,0,0,0,0,0,0,42,12,96,59,35,33,0,4,2,41,40,19,366,0,0,0,0,0,1
Ben Foster,51,WBA,EPL,G,38,3420,38,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,2,0,0,0,0,4,450,1119,0,8,345,1,13,1,2,0,0,0,1,0,0,0,0,0,0,1399,2,129,1,317,0,21,0,680,317,0,0,0,0,0,0,0,0,1,0,0,0,51,6,116,59,50,28,0,3,0,23,22,9,358,0,0,0,0,0,1
Gianluigi Donnarumma,45,MIL,SERI,G,38,3420,38,0,0,2,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,2,902,1208,0,5,357,0,6,3,2,1,1,0,0,0,0,0,0,1,0,1665,1,27,2,95,0,4,0,318,95,0,0,0,0,0,0,0,0,2,0,0,0,45,12,146,86,60,17,1,9,2,40,39,16,186,0,0,0,0,0,0
Wojciech Szczesny,38,ROM,SERI,G,38,3420,38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,4,731,965,0,6,297,2,12,0,2,0,0,0,0,0,0,0,0,0,0,1377,0,18,1,126,0,5,0,244,130,0,0,0,0,0,0,0,0,0,0,0,0,38,14,116,68,47,14,1,4,2,26,25,16,323,0,0,0,0,0,2
Ben Gibson,53,MID,EPL,D,38,3420,38,0,0,4,0,0,1,1,0,0,1,15,6,55,0,0,3,1,2,0,31,30,21,19,16,1423,1683,0,61,135,17,121,0,0,11,4,1,4,2,0,0,0,8,0,2149,21,125,100,441,9,16,1,288,246,0,0,0,0,0,0,0,0,1,0,0,0,53,11,0,0,0,0,0,0,0,235,231,0,148,0,2,1,0,0,18
Fraser Forster,48,SOU,EPL,G,38,3420,38,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,419,859,0,4,233,1,6,2,0,0,0,0,0,0,0,0,0,0,0,1101,0,36,2,199,0,5,0,446,199,0,0,0,0,0,0,0,0,1,0,0,0,48,14,76,42,34,3,0,9,1,18,18,12,252,0,0,0,0,0,1
Yohann Pele,41,OM,FRAN,G,38,3420,38,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,810,1101,0,16,354,0,19,2,1,0,0,0,0,0,0,0,0,0,0,1557,0,13,2,136,0,3,0,299,136,0,0,0,0,0,0,0,0,0,0,0,0,41,18,121,74,44,28,0,2,0,27,25,10,285,0,0,0,0,0,0
St44 Cook,67,BOU,EPL,D,38,3420,38,0,0,5,0,0,2,0,0,0,0,29,9,76,14,0,3,1,2,1,39,46,31,16,14,1406,1715,0,145,228,19,223,1,2,20,6,2,9,3,0,0,0,5,1,2425,37,141,113,509,9,77,1,399,286,0,0,0,0,1,0,0,0,4,1,0,0,67,10,0,0,0,0,0,0,0,351,338,0,168,0,0,0,1,0,24
