Player Name,Team,Goals Conceded by team per season,League,POS,GP,MIN,ST,ON,OFF,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,30,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,A66,AW,BR,DR,DW,EG,ES,IBS,IBSOG,IBG,OBS,OBSOG,OBG,AOG,APW,DSP,OWN,TOUCH,TBOX,PFT,DL,AFZP,BLKCR,PENT,CLR43,POSL,LPOPP,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,SV,IBSV,OBSV,AKS,PKC,PKF,PKSV,CL,ECL,PUNCH,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Harry Maguire,LEI,60,EPL,D,38,3420,38,0,0,7,0,0,2,4,0,1,3,30,8,48,15,2,18,5,14,0,28,63,46,34,30,1363,1740,2,119,269,51,263,0,1,25,7,2,5,1,0,0,0,18,0,2315,84,204,136,552,5,35,0,460,256,0,0,0,0,0,0,0,0,9,0,0,0,60,9,0,0,0,0,2,0,0,176,176,0,173,1,1,4,3,1,60
Jack Cork,BRN,39,EPL,M,38,3420,38,0,0,7,0,0,2,1,0,1,0,15,5,40,19,4,19,0,16,2,15,59,46,23,54,1276,1581,2,58,242,31,195,1,0,9,5,2,6,0,0,0,0,46,0,2099,21,296,198,692,5,46,0,449,126,0,0,0,0,0,0,2,2,4,0,0,0,39,12,0,0,0,0,0,0,0,80,80,0,86,0,0,1,0,2,41
Jonas Lossl,HUD,58,EPL,G,38,3420,38,0,0,1,0,0,0,1,0,1,0,0,0,4,0,0,3,1,2,0,0,1,0,0,6,723,1284,0,15,345,3,24,3,3,0,0,0,0,0,0,0,0,0,1,1592,0,98,8,295,0,40,0,568,297,0,0,0,0,0,0,0,0,1,0,0,0,58,10,103,65,36,23,0,6,2,37,37,24,419,0,0,0,0,0,3
Zanka,HUD,58,EPL,D,38,3420,38,0,0,6,0,0,0,2,0,1,1,13,3,79,0,0,9,1,7,0,20,55,36,45,9,1198,1561,0,88,166,3,154,1,4,11,3,0,2,0,0,0,0,0,0,2078,28,133,152,405,8,23,0,382,213,0,0,0,0,0,0,0,0,3,0,0,0,58,10,0,0,0,0,1,0,0,240,240,0,104,1,0,2,4,0,3
Gianluigi Donnarumma,MIL,42,SERI,G,38,3420,38,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,3,836,1085,0,5,290,1,8,3,4,0,0,0,0,0,0,0,0,0,1,1405,2,14,0,74,0,1,0,256,75,0,0,0,0,0,0,0,0,0,0,0,0,42,12,91,56,35,8,0,3,0,34,34,21,247,0,0,0,0,0,1
42an Skriniar,INT,30,SERI,D,38,3420,38,0,0,2,0,0,4,0,1,0,0,21,10,35,0,0,8,0,8,0,26,86,55,40,29,2170,2380,0,69,280,19,198,0,0,17,7,4,4,3,0,0,0,15,1,2860,30,127,128,678,8,14,0,247,337,0,0,0,0,0,0,0,0,2,0,0,0,30,17,0,0,0,0,0,0,0,172,172,0,101,2,0,0,2,3,19
Asmir Begovic,BOU,61,EPL,G,38,3420,38,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,2,7,485,945,0,11,349,0,15,5,2,0,0,0,0,0,0,0,0,0,0,1367,0,32,6,146,0,8,0,470,149,0,0,0,0,0,0,0,0,0,0,0,0,61,6,111,65,46,11,1,3,1,37,37,20,244,0,0,0,0,0,0
Benjamin Lec47te,MON,33,FRAN,G,38,3420,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,1,1,3,4,597,928,0,20,387,1,25,0,1,0,0,0,0,0,0,0,0,0,0,1354,0,33,2,164,0,4,0,346,168,0,0,0,0,0,0,0,0,0,0,0,0,33,14,87,50,34,6,1,6,0,29,29,16,310,0,0,0,0,0,1
Baptiste Reynet,DIJ,73,FRAN,G,38,3420,38,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,6,4,0,7,977,1416,0,15,413,3,27,0,1,0,0,0,0,0,0,0,0,0,0,1907,0,66,5,221,0,9,0,449,223,0,0,0,0,0,0,0,0,0,0,0,0,73,5,131,75,55,34,0,14,3,44,44,8,384,0,0,0,0,0,3
Mathew Ryan,BHA,54,EPL,G,38,3420,38,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,505,1053,0,13,335,0,13,2,1,0,0,0,0,0,0,0,0,0,0,1387,0,49,3,270,0,10,0,562,272,0,0,0,0,0,0,0,0,0,0,0,0,54,10,124,73,50,4,0,3,2,23,23,13,364,0,0,0,0,0,0
Alex Cordaz,CRO,66,SERI,G,38,3420,38,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,0,0,0,0,0,2,456,1081,0,8,353,0,8,3,1,0,0,0,0,0,0,0,0,0,0,1390,0,76,0,265,0,20,0,632,264,0,0,0,0,0,0,0,0,0,0,0,0,66,5,139,77,56,5,0,8,1,38,38,22,341,0,0,0,0,0,0
Karl-Johan Johnsson,GUI,59,FRAN,G,38,3420,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,6,595,1015,0,14,324,1,16,2,2,0,0,0,0,0,0,0,0,0,0,1368,0,60,2,218,0,12,0,429,219,0,0,0,0,0,0,0,0,0,0,0,0,59,11,114,64,49,13,0,7,2,27,27,13,316,0,0,0,0,0,1
Stefano Sorrentino,CHI,59,SERI,G,38,3420,38,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,601,1015,0,7,317,0,14,2,1,0,0,0,0,0,0,0,0,0,0,1412,0,19,1,127,0,3,0,419,128,0,0,0,0,0,0,0,0,0,0,0,0,59,7,133,77,55,5,0,7,3,37,37,14,290,0,0,0,0,0,0
