Player Name,Team,League,POS,GP,MIN,ST,ON,OFF,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,ACRO,AW,BR,DR,DW,EG,ES,IBS,IBSOG,IBG,OBS,OBSOG,OBG,AOG,APW,DSP,OWN,TOUCH,TBOX,PFT,DL,AFZP,BLKCR,PENT,CLROL,POSL,LPOPP,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,SV,IBSV,OBSV,AKS,PKC,PKF,PKSV,CL,ECL,PUNCH,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Benoit Costil,GIR,FRAN,G,38,3420,38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,3,795,1182,0,8,299,3,13,0,0,0,0,0,0,0,0,0,0,0,0,1492,0,46,2,177,0,6,0,391,176,0,0,0,0,0,0,0,0,2,0,0,0,56,14,103,65,36,7,0,8,1,29,29,12,335,0,1,0,0,0,3
Jan Oblak,ATM,LIGA,G,38,3420,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,514,872,0,8,268,1,12,0,2,0,0,0,0,0,0,0,0,0,1,1158,0,22,1,132,0,10,0,363,134,0,0,0,0,0,0,0,0,0,0,0,0,25,18,103,65,35,7,0,4,2,19,19,13,241,0,0,0,0,0,1
Mike Maignan,LIL,FRAN,G,38,3420,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,8,586,871,0,12,305,1,19,1,1,0,0,0,0,0,0,0,0,0,0,1227,0,30,2,96,0,12,0,293,98,0,0,0,0,0,0,0,0,0,0,0,0,23,21,88,56,31,9,0,2,1,20,20,13,164,0,0,0,0,0,1
Emiliano Martinez,AVL,EPL,G,38,3420,38,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,3,3,1,8,709,1134,0,11,356,0,22,1,1,0,0,0,0,0,0,0,0,0,0,1541,0,53,3,175,0,5,0,440,177,0,0,0,0,0,0,0,0,0,0,0,0,46,15,142,81,60,12,0,6,1,14,14,4,265,0,0,0,0,0,0
Pierre-Emile Hojbjerg,TOT,EPL,M,38,3420,38,0,0,9,0,0,2,4,0,4,0,14,7,48,6,1,16,4,10,2,9,98,51,69,53,2448,2765,1,44,296,23,217,0,0,4,4,1,10,3,1,0,0,20,0,3259,22,397,209,1187,2,47,0,395,314,0,0,0,0,0,0,0,0,3,0,0,0,45,12,0,0,0,0,1,0,0,64,64,0,108,1,0,0,1,1,32
Thibaut Courtois,RMA,LIGA,G,38,3420,38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,843,1077,0,11,319,0,13,1,1,0,0,0,0,0,0,0,0,0,0,1473,0,22,2,49,0,11,0,238,51,0,0,0,0,0,0,0,0,1,0,0,0,28,17,90,58,31,10,1,8,1,22,22,5,131,0,0,0,0,0,0
Aaron Ramsdale,SHU,EPL,G,38,3420,38,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,1,1,1,5,442,1019,0,9,350,2,16,2,4,0,0,0,0,0,0,0,0,0,0,1386,2,102,4,237,0,20,0,586,239,0,0,0,0,0,0,0,0,0,0,0,0,63,5,147,88,58,10,1,4,0,34,34,12,281,0,0,0,0,0,2
Baptiste Reynet,NIM,FRAN,G,38,3420,38,0,0,3,0,0,0,0,0,0,0,2,1,1,0,0,3,1,3,0,0,2,1,1,8,931,1441,0,11,348,1,20,0,2,2,1,0,0,0,0,0,0,0,0,1782,2,46,3,177,0,10,0,513,179,0,0,0,0,0,0,0,0,0,0,0,0,71,8,126,83,42,11,1,10,3,20,20,11,294,0,1,0,0,0,1
James Ward-Prowse,SOU,EPL,M,38,3420,38,0,0,5,0,0,8,7,1,0,7,43,24,42,251,55,60,3,19,34,4,75,49,45,27,2102,2434,3,47,288,17,166,0,0,10,8,4,33,16,4,0,0,14,0,3146,23,372,165,1046,8,298,0,592,190,4,3,0,1,50,13,166,163,23,20,10,4,68,9,0,0,0,0,1,0,0,52,52,0,78,0,0,0,1,3,22
Kasper Schmeichel,LEI,EPL,G,38,3420,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,751,1067,0,12,256,1,15,0,0,0,0,0,0,0,0,0,0,0,1,1385,0,25,1,76,0,7,0,325,77,0,0,0,0,0,0,0,0,0,0,0,0,50,11,88,69,19,4,0,4,0,17,17,7,241,0,0,0,0,0,2
Walter Benitez,NIC,FRAN,G,38,3420,38,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,3,817,1039,0,13,279,0,18,2,0,0,0,0,0,0,0,0,0,0,0,1406,0,11,2,49,0,4,0,230,49,0,0,0,0,0,0,0,0,0,0,0,0,53,9,125,65,58,4,0,7,0,12,12,5,145,0,0,0,0,0,0
Paul Bernardoni,SCO,FRAN,G,38,3420,38,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,2,11,432,767,0,10,299,0,18,1,0,0,0,0,0,0,0,0,0,1,0,1150,0,24,4,105,0,6,0,347,109,0,0,0,0,0,0,0,0,0,0,0,0,58,9,85,48,34,4,2,8,1,30,30,7,166,0,0,0,0,0,0
Anthony Lopes,OL,FRAN,G,38,3420,38,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,5,793,997,0,7,293,1,11,1,0,0,0,0,0,0,0,0,0,0,2,1332,0,15,3,87,0,2,0,206,83,0,0,0,0,0,0,0,0,0,0,0,0,43,11,95,58,35,10,2,7,1,27,27,7,202,0,1,0,0,0,1
Bruno Ecuele Manga,DIJ,FRAN,D,38,3420,38,0,0,3,0,0,2,0,0,0,0,31,8,57,2,0,1,0,1,0,33,52,38,17,26,1660,1961,0,127,257,11,214,2,1,31,8,2,0,0,0,0,0,6,0,2428,40,75,101,337,3,12,1,331,242,0,0,0,0,0,0,0,0,4,0,0,0,73,6,0,0,0,0,1,0,0,162,162,0,159,0,0,1,0,1,13
