Team,Rank,P,M,W,D,L,G,GA,GD
Bayern Munich,1,77,34,24,5,5,97,37,60
Borussia Dortmund,2,69,34,22,3,9,85,52,33
Bayer Leverkusen,3,64,34,19,7,8,80,47,33
RB Leipzig,4,58,34,17,7,10,72,37,35
Union Berlin,5,57,34,16,9,9,50,44,6
SC Freiburg,6,55,34,15,10,9,58,46,12
1. FC K&ouml;ln,7,52,34,14,10,10,52,49,3
FSV Mainz 05,8,46,34,13,7,14,50,45,5
1899 Hoffenheim,9,46,34,13,7,14,58,60,-2
M&ouml;nchengladbach,10,45,34,12,9,13,54,61,-7
Eintracht Frankfurt,11,42,34,10,12,12,45,49,-4
VfL Wolfsburg,12,42,34,12,6,16,43,54,-11
VfL Bochum,13,42,34,12,6,16,38,52,-14
FC Augsburg,14,38,34,10,8,16,39,56,-17
VfB Stuttgart,15,33,34,7,12,15,41,59,-18
Hertha BSC Berlin,16,33,34,9,6,19,37,71,-34
Arminia Bielefeld,17,28,34,5,13,16,27,53,-26
SpVgg Greuther Furth,18,18,34,3,9,22,28,82,-54
