Team,Rank,P,M,W,D,L,G,GA,GD
Real Madrid,1,86,38,26,8,4,80,31,49
Barcelona,2,73,38,21,10,7,68,38,30
Atl&eacute;tico Madrid,3,71,38,21,8,9,65,43,22
Sevilla,4,70,38,18,16,4,53,30,23
Betis,5,65,38,19,8,11,62,40,22
Real Sociedad,6,62,38,17,11,10,40,37,3
Villarreal,7,59,38,16,11,11,63,37,26
Athletic,8,55,38,14,13,11,43,36,7
Valencia,9,48,38,11,15,12,48,53,-5
Osasuna,10,47,38,12,11,15,37,51,-14
Celta Vigo,11,46,38,12,10,16,43,43,0
Rayo Vallecano,12,42,38,11,9,18,39,50,-11
Elche,13,42,38,11,9,18,40,52,-12
Espanyol,14,42,38,10,12,16,40,53,-13
Getafe,15,39,38,8,15,15,33,41,-8
Mallorca,16,39,38,10,9,19,36,63,-27
Cadiz,17,39,38,8,15,15,35,51,-16
Granada,18,38,38,8,14,16,44,61,-17
Levante,19,35,38,8,11,19,51,76,-25
Deportivo Alaves,20,31,38,8,7,23,31,65,-34
